# Matter power spectrum P(k) at redshift z=0
# for k=0.000516752 to 1.34824 h/Mpc,
# number of wavenumbers equal to 759
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.662762390681e-02       4.773578550847e+04 
       1.675800130898e-02       4.773212965714e+04 
       1.688842564281e-02       4.772550104088e+04 
       1.701889747736e-02       4.771592170565e+04 
       1.714941740463e-02       4.770342081117e+04 
       1.727998603968e-02       4.768809036313e+04 
       1.741060402077e-02       4.766993167847e+04 
       1.754127200957e-02       4.764897618319e+04 
       1.767199069133e-02       4.762528630924e+04 
       1.780276077512e-02       4.759892646510e+04 
       1.793358299404e-02       4.756986841124e+04 
       1.806445810552e-02       4.753822796657e+04 
       1.819538689151e-02       4.750397099222e+04 
       1.832637015887e-02       4.746721178827e+04 
       1.845740873958e-02       4.742792270809e+04 
       1.858850349115e-02       4.738616149753e+04 
       1.871965529689e-02       4.734197836150e+04 
       1.885086506634e-02       4.729543962774e+04 
       1.898213373560e-02       4.724653111376e+04 
       1.911346226774e-02       4.719528329380e+04 
       1.924485165324e-02       4.714173149188e+04 
       1.937630291040e-02       4.708597886326e+04 
       1.950781708582e-02       4.702803039421e+04 
       1.963939525484e-02       4.696789360144e+04 
       1.977103852206e-02       4.690564541968e+04 
       1.990274802185e-02       4.684130774596e+04 
       2.003452491889e-02       4.677490340083e+04 
       2.016637040868e-02       4.670644078524e+04 
       2.029828571819e-02       4.663596541722e+04 
       2.043027210639e-02       4.656357418082e+04 
       2.056233086489e-02       4.648927501726e+04 
       2.069446331858e-02       4.641308219890e+04 
       2.082667082630e-02       4.633503308510e+04 
       2.095895478150e-02       4.625511856288e+04 
       2.109131661297e-02       4.617340177011e+04 
       2.122375778555e-02       4.608995784731e+04 
       2.135627980093e-02       4.600479264333e+04 
       2.148888419835e-02       4.591792554770e+04 
       2.162157255550e-02       4.582938145496e+04 
       2.175434648927e-02       4.573926422136e+04 
       2.188720765668e-02       4.564746714866e+04 
       2.202015775570e-02       4.555419730324e+04 
       2.215319852624e-02       4.545928184625e+04 
       2.228633175103e-02       4.536290534249e+04 
       2.241955925662e-02       4.526504190502e+04 
       2.255288291442e-02       4.516574408701e+04 
       2.268630464169e-02       4.506502778787e+04 
       2.281982640262e-02       4.496289584342e+04 
       2.295345020948e-02       4.485941088877e+04 
       2.308717812372e-02       4.475461075745e+04 
       2.322101225714e-02       4.464844927651e+04 
       2.335495477316e-02       4.454103425071e+04 
       2.348900788802e-02       4.443247484378e+04 
       2.362317387211e-02       4.432254236949e+04 
       2.375745505128e-02       4.421142124317e+04 
       2.389185380823e-02       4.409920843031e+04 
       2.402637258396e-02       4.398577755475e+04 
       2.416101387920e-02       4.387133849966e+04 
       2.429578025593e-02       4.375571911611e+04 
       2.443067433897e-02       4.363902784284e+04 
       2.456569881760e-02       4.352125919361e+04 
       2.470085644720e-02       4.340255465060e+04 
       2.483615005099e-02       4.328286992768e+04 
       2.497158252182e-02       4.316218984416e+04 
       2.510715682399e-02       4.304055112988e+04 
       2.524287599519e-02       4.291804498672e+04 
       2.537874314840e-02       4.279462705931e+04 
       2.551476147398e-02       4.267024703614e+04 
       2.565093424176e-02       4.254513910531e+04 
