# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
   70       3.481628376212e+03       1.052777285387e+00       0.000000000000e+00      -3.888387272034e+01       4.380044817848e-07      -1.925366640578e-03      -3.689001221205e-07 
   71       3.544217411636e+03       1.065065427326e+00       0.000000000000e+00      -3.980407768022e+01       4.357028398825e-07      -1.899326601779e-03      -3.515643292476e-07 
   72       3.606760053089e+03       1.075931859503e+00       0.000000000000e+00      -4.068053970877e+01       4.333839837488e-07      -1.873964601855e-03      -3.358910356586e-07 
   73       3.669154042361e+03       1.085339416833e+00       0.000000000000e+00      -4.151002324602e+01       4.310334025655e-07      -1.849144312224e-03      -3.207613092856e-07 
   74       3.731416016297e+03       1.093257601075e+00       0.000000000000e+00      -4.229011543891e+01       4.286630248875e-07      -1.824759256961e-03      -3.060027529135e-07 
   75       3.793598731906e+03       1.099661080346e+00       0.000000000000e+00      -4.301870945519e+01       4.262835943742e-07      -1.800664478685e-03      -2.916977089078e-07 
   76       3.855761376997e+03       1.104529284541e+00       0.000000000000e+00      -4.369382330797e+01       4.238925476748e-07      -1.776647193085e-03      -2.779234999155e-07 
   77       3.917944564228e+03       1.107847299345e+00       0.000000000000e+00      -4.431338099882e+01       4.214802748010e-07      -1.752507311466e-03      -2.647352698842e-07 
   78       3.980089739109e+03       1.109608266229e+00       0.000000000000e+00      -4.487449380256e+01       4.190568350629e-07      -1.728338102426e-03      -2.521112017432e-07 
   79       4.042105501161e+03       1.109811802123e+00       0.000000000000e+00      -4.537406267055e+01       4.166306087309e-07      -1.704309917687e-03      -2.399909167911e-07 
   80       4.103891166573e+03       1.108463577537e+00       0.000000000000e+00      -4.580899612765e+01       4.141989906203e-07      -1.680588854737e-03      -2.282884858635e-07 
   81       4.165347412577e+03       1.105575831155e+00       0.000000000000e+00      -4.617640113975e+01       4.117535983984e-07      -1.657310583010e-03      -2.169201994737e-07 
   82       4.226411042259e+03       1.101168519713e+00       0.000000000000e+00      -4.647418676920e+01       4.093020651195e-07      -1.634497044743e-03      -2.059008515982e-07 
   83       4.287025607764e+03       1.095268778515e+00       0.000000000000e+00      -4.670057013559e+01       4.068504147258e-07      -1.612115952501e-03      -1.952683442762e-07 
   84       4.347130832767e+03       1.087910877083e+00       0.000000000000e+00      -4.685390409998e+01       4.043954674798e-07      -1.590100972212e-03      -1.850554073219e-07 
   85       4.406665970140e+03       1.079136307166e+00       0.000000000000e+00      -4.693258949180e+01       4.019299025993e-07      -1.568381146290e-03      -1.752836847384e-07 
   86       4.465580799085e+03       1.068993558467e+00       0.000000000000e+00      -4.693478122009e+01       3.994625704284e-07      -1.546984178262e-03      -1.659456750592e-07 
   87       4.523826194004e+03       1.057538729442e+00       0.000000000000e+00      -4.685864554694e+01       3.970022140365e-07      -1.525953005515e-03      -1.570172621526e-07 
   88       4.581350718602e+03       1.044835891796e+00       0.000000000000e+00      -4.670245479798e+01       3.945506450346e-07      -1.505314073082e-03      -1.484617344853e-07 
