# total lensed [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
   37       1.750093739225e+03       2.759887236751e-01       2.923744145721e-03      -4.070906794043e+00       4.813848963426e-07      -2.929213592631e-03      -1.770592194416e-06 
   38       1.790111269282e+03       2.977514933449e-01       3.083575095154e-03      -4.795434499252e+00       4.818753010502e-07      -2.896139603653e-03      -1.913785155874e-06 
   39       1.830388461212e+03       3.203175311363e-01       3.247754030057e-03      -5.551435660223e+00       4.821656265596e-07      -2.862912712863e-03      -2.157990073335e-06 
   40       1.871500643954e+03       3.436296743508e-01       3.416295678379e-03      -6.345872598017e+00       4.822910969597e-07      -2.829737901809e-03      -2.372799574342e-06 
   41       1.914058015724e+03       3.676099721994e-01       3.589215837058e-03      -7.186652635402e+00       4.822377807748e-07      -2.796601323942e-03      -2.434311973869e-06 
   42       1.957381495067e+03       3.922051666943e-01       3.766530856793e-03      -8.072336467790e+00       4.820356998520e-07      -2.763750038607e-03      -2.327146615335e-06 
   43       2.000703942362e+03       4.173717867450e-01       3.948258002513e-03      -8.997958078830e+00       4.816753445121e-07      -2.731299886038e-03      -2.087192610089e-06 
   44       2.044974620893e+03       4.430882927717e-01       4.134414922406e-03      -9.956406986068e+00       4.811825367331e-07      -2.699319818007e-03      -1.811278761484e-06 
   45       2.091358324560e+03       4.693238222410e-01       4.325020060163e-03      -1.094086311817e+01       4.805490934343e-07      -2.667671312878e-03      -1.616278073584e-06 
   46       2.139378774132e+03       4.959750940496e-01       4.520092208990e-03      -1.195115958996e+01       4.797969816675e-07      -2.636234249485e-03      -1.552857830700e-06 
   47       2.188073621325e+03       5.229272855588e-01       4.719650922361e-03      -1.298797097933e+01       4.789195816028e-07      -2.604698874603e-03      -1.637797444297e-06 
