# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
   41       1.110779130326e+03       2.007600835307e-02       0.000000000000e+00       1.833719304908e+00       6.100683100897e-08       1.557439811117e-03       1.925977297079e-07 
   42       1.122142241485e+03       2.184179364242e-02       0.000000000000e+00       1.856262708624e+00       6.082739611835e-08       1.530438317414e-03       1.888562297695e-07 
   43       1.133577660286e+03       2.370802158699e-02       0.000000000000e+00       1.874324404944e+00       6.060360520916e-08       1.503607905012e-03       1.770884953629e-07 
   44       1.145112125742e+03       2.567734965754e-02       0.000000000000e+00       1.887735840928e+00       6.034776215882e-08       1.477178450273e-03       1.557543871419e-07 
   45       1.156788297293e+03       2.775288211783e-02       0.000000000000e+00       1.896476436766e+00       6.008335110502e-08       1.451541408730e-03       1.255513277233e-07 
   46       1.168629854449e+03       2.993777185623e-02       0.000000000000e+00       1.900564576969e+00       5.982743286518e-08       1.426939478324e-03       8.766623264007e-08 
   47       1.180639555080e+03       3.223522234932e-02       0.000000000000e+00       1.900059781825e+00       5.958801115127e-08       1.403434782033e-03       4.383912674282e-08 
   48       1.192797293711e+03       3.464848962544e-02       0.000000000000e+00       1.895064878855e+00       5.936107815438e-08       1.380875254506e-03      -3.570309270921e-09 
   49       1.205058159813e+03       3.718088422828e-02       0.000000000000e+00       1.885728174272e+00       5.912732511196e-08       1.358859232705e-03      -5.151326219919e-08 
   50       1.217372973843e+03       3.983558372756e-02       0.000000000000e+00       1.872182245132e+00       5.886061657413e-08       1.336904387969e-03      -9.690481101936e-08 
   51       1.229760971660e+03       4.261500569883e-02       0.000000000000e+00       1.854335691486e+00       5.856823451947e-08       1.315127065874e-03      -1.390765506858e-07 
   52       1.242253493112e+03       4.552126794030e-02       0.000000000000e+00       1.832028611206e+00       5.826559708821e-08       1.293771307992e-03      -1.781844478505e-07 
   53       1.254872365691e+03       4.855635626341e-02       0.000000000000e+00       1.805090246968e+00       5.796487730674e-08       1.273013913589e-03      -2.145915167262e-07 
   54       1.267629020598e+03       5.172211754105e-02       0.000000000000e+00       1.773338175162e+00       5.767380424369e-08       1.252951458674e-03      -2.488942230511e-07 
   55       1.280523608817e+03       5.502025275566e-02       0.000000000000e+00       1.736577494789e+00       5.739433655895e-08       1.233586671657e-03      -2.819500141168e-07 
   56       1.293544117182e+03       5.845231004741e-02       0.000000000000e+00       1.694600016364e+00       5.712120344717e-08       1.214814165615e-03      -3.149059748636e-07 
   57       1.306665484445e+03       6.201967776230e-02       0.000000000000e+00       1.647183450818e+00       5.684030797752e-08       1.196405527157e-03      -3.492286100388e-07 
   58       1.319861343385e+03       6.572372267537e-02       0.000000000000e+00       1.594113356119e+00       5.653461327482e-08       1.178105627777e-03      -3.863441991501e-07 
   59       1.333144498026e+03       6.956625861201e-02       0.000000000000e+00       1.535256877312e+00       5.620941166536e-08       1.159998709646e-03      -4.263361774200e-07 
   60       1.346534456172e+03       7.354917634656e-02       0.000000000000e+00       1.470505007879e+00       5.587564527650e-08       1.142243033918e-03      -4.688459114764e-07 
   61       1.360045210817e+03       7.767430632387e-02       0.000000000000e+00       1.399751348567e+00       5.554279037204e-08       1.124964787857e-03      -5.134163403016e-07 
   62       1.373684798981e+03       8.194341679834e-02       0.000000000000e+00       1.322892094343e+00       5.521832833869e-08       1.108252530355e-03      -5.594834899134e-07 
   63       1.387454860534e+03       8.635821197296e-02       0.000000000000e+00       1.239826021339e+00       5.490716676139e-08       1.092151396407e-03      -6.063677093824e-07 
   64       1.401350197027e+03       9.092033013830e-02       0.000000000000e+00       1.150454473811e+00       5.461100887083e-08       1.076657060561e-03      -6.532646281837e-07 
   65       1.415358330522e+03       9.563134181160e-02       0.000000000000e+00       1.054681351087e+00       5.432766964715e-08       1.061709459320e-03      -6.992358348848e-07 
   66       1.429459062419e+03       1.004927478758e-01       0.000000000000e+00       9.524130945179e-01       5.405033686320e-08       1.047186272507e-03      -7.431992771686e-07 
   67       1.443624032285e+03       1.055059777184e-01       0.000000000000e+00       8.435586744294e-01       5.376677535126e-08       1.032896163603e-03      -7.839193831922e-07 
   68       1.457826842297e+03       1.106722728798e-01       0.000000000000e+00       7.280359412135e-01       5.346366027416e-08       1.018644324429e-03      -8.202327398604e-07 
   69       1.472076798922e+03       1.159923147792e-01       0.000000000000e+00       6.057922021368e-01       5.314370225700e-08       1.004468661218e-03      -8.518290087450e-07 
   70       1.486391247060e+03       1.214665178666e-01       0.000000000000e+00       4.767878096504e-01       5.281381219168e-08       9.904623523535e-04      -8.786876954730e-07 
