# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)p_ncdm[0]          14:(.)rho_lambda         15:(.)rho_ur             16:(.)rho_crit           17:(.)rho_tot            18:(.)p_tot              19:(.)p_tot_prime        20:gr.fac. D             21:gr.fac. f          
       7.979346461238e+13       1.186087678036e-25       5.802576197311e-09       1.374925260221e+22       1.416747636622e+04       1.775518388009e-10       1.130472024075e+18       3.350638732617e-09       1.115445515164e+44       1.253428302459e+33       6.778744901054e+33       2.566692894674e+43       8.555642982246e+42       3.446454986861e-08       5.183046664817e+43       1.890419471194e+44       1.890419471194e+44       6.301398237045e+43      -4.343188582129e+52       7.961867669708e-06       1.377925610716e+00 
       7.894035946874e+13       1.211862200814e-25       5.866240826435e-09       1.345682626432e+22       1.416747636622e+04       1.794706340530e-10       1.118385677115e+18       3.386848944418e-09       1.068502323054e+44       1.213653824071e+33       6.563638028141e+33       2.458674389059e+43       8.195581296863e+42       3.446454986861e-08       4.964919690441e+43       1.810861731082e+44       1.810861731082e+44       6.036205770013e+43      -4.115926144215e+52       8.079793240200e-06       1.357814617910e+00 
       7.809637522728e+13       1.238196822147e-25       5.929905455559e-09       1.317061940364e+22       1.416747636622e+04       1.814101656446e-10       1.106428550320e+18       3.423450478454e-09       1.023534721195e+44       1.175141491375e+33       6.355357045190e+33       2.355201810064e+43       7.850672700212e+42       3.446454986861e-08       4.755972524782e+43       1.734652154755e+44       1.734652154755e+44       5.782173848931e+43      -3.900555479985e+52       8.197718810693e-06       1.338282225163e+00 
       7.726141437266e+13       1.265103713488e-25       5.993570084684e-09       1.289049974104e+22       1.416747636622e+04       1.833706576725e-10       1.094599262146e+18       3.460447563734e-09       9.804595674597e+43       1.137851253266e+33       6.153685349294e+33       2.256083843722e+43       7.520279479072e+42       3.446454986861e-08       4.555818838324e+43       1.661649835737e+44       1.661649835737e+44       5.538832785548e+43      -3.696454338430e+52       8.315644381187e-06       1.319303816798e+00 
       7.643538043208e+13       1.292595310449e-25       6.059053703211e-09       1.261633781080e+22       1.416747636622e+04       1.853523366553e-10       1.082896445815e+18       3.497844474947e-09       9.391972187335e+43       1.101744329565e+33       5.958413210912e+33       2.161137227456e+43       7.203790758188e+42       3.446454986861e-08       4.364088560117e+43       1.591719797561e+44       1.591719797561e+44       5.305732658303e+43      -3.503033028554e+52       8.433569951680e-06       1.300856153933e+00 
       7.561817796419e+13       1.320684319206e-25       6.124537321739e-09       1.234800690073e+22       1.416747636622e+04       1.873554315595e-10       1.071318749165e+18       3.535645533004e-09       8.996713836576e+43       1.066783170686e+33       5.769337555752e+33       2.070186411243e+43       6.900621370811e+42       3.446454986861e-08       4.180427193533e+43       1.524732744204e+44       1.524732744204e+44       5.082442480451e+43      -3.319732715637e+52       8.551495522174e-06       1.282917279540e+00 
       7.480971254804e+13       1.349383722255e-25       6.190020940267e-09       1.208538299362e+22       1.416747636622e+04       1.893801738260e-10       1.059864834488e+18       3.573855105513e-09       8.618089815724e+43       1.032931418589e+33       5.586261753592e+33       1.983063233028e+43       6.610210776759e+42       3.446454986861e-08       4.004495160833e+43       1.460564821025e+44       1.460564821025e+44       4.868549403195e+43      -3.146023806638e+52       8.669421092668e-06       1.265466431285e+00 
       7.400989077217e+13       1.378706783657e-25       6.257323548198e-09       1.182834470994e+22       1.416747636622e+04       1.914267973971e-10       1.048533378382e+18       3.612477607267e-09       8.255400073962e+43       1.000153868964e+33       5.408995413786e+33       1.899606607805e+43       6.332022026018e+42       3.446454986861e-08       3.835967175302e+43       1.399097385771e+44       1.399097385771e+44       4.663657952356e+43      -2.981404420094e+52       8.787346663163e-06       1.248483961328e+00 
       7.321862022383e+13       1.408667056136e-25       6.324626156129e-09       1.157677325170e+22       1.416747636622e+04       1.934955387429e-10       1.037323071589e+18       3.651517500784e-09       7.907974021903e+43       9.684164346271e+32       5.237354187269e+33       1.819662229786e+43       6.065540765953e+42       3.446454986861e-08       3.674531639822e+43       1.340216789213e+44       1.340216789213e+44       4.467389297170e+43      -2.825398936080e+52       8.905272233659e-06       1.231951262567e+00 
       7.243580947828e+13       1.439278386780e-25       6.393747753464e-09       1.133055234759e+22       1.416747636622e+04       1.955866368895e-10       1.026232618852e+18       3.690979296801e-09       7.575169291715e+43       9.376861100654e+32       5.071159574844e+33       1.743082287092e+43       5.810274290308e+42       3.446454986861e-08       3.519890070746e+43       1.283814165015e+44       1.283814165015e+44       4.279380549851e+43      -2.677556622040e+52       9.023197804155e-06       1.215850700615e+00 
       7.166136808825e+13       1.470554923080e-25       6.462869350798e-09       1.108956819921e+22       1.416747636622e+04       1.977003334457e-10       1.015260738761e+18       3.730867554783e-09       7.256370549422e+43       9.079309371161e+32       4.910238741546e+33       1.669725188467e+43       5.565750628223e+42       3.446454986861e-08       3.371756546022e+43       1.229785228449e+44       1.229785228449e+44       4.099284094637e+43      -2.537450330529e+52       9.141123374651e-06       1.200165551046e+00 
       7.089520657347e+13       1.502511121084e-25       6.531990948133e-09       1.085370942848e+22       1.416747636622e+04       1.998368726317e-10       1.004406163608e+18       3.771186883512e-09       6.950988357200e+43       8.791199717302e+32       4.754424336908e+33       1.599455301477e+43       5.331517671591e+42       3.446454986861e-08       3.229857176543e+43       1.178030083578e+44       1.178030083578e+44       3.926766945073e+43      -2.404675265090e+52       9.259048945148e-06       1.184879941484e+00 
       7.013723641037e+13       1.535161749282e-25       6.602931534871e-09       1.062286702617e+22       1.416747636622e+04       2.019965013068e-10       9.936676392361e+17       3.811941941509e-09       6.658458083535e+43       8.512232517924e+32       4.603554320918e+33       1.532142701741e+43       5.107142339138e+42       3.446454986861e-08       3.093929599744e+43       1.128453038557e+44       1.128453038557e+44       3.761510128340e+43      -2.278847810721e+52       9.376974515645e-06       1.169978797974e+00 
       6.938737002177e+13       1.568521899250e-25       6.673872121610e-09       1.039693430152e+22       1.416747636622e+04       2.041794689981e-10       9.830439248978e+17       3.853137437727e-09       6.378238859265e+43       8.242117659618e+32       4.457471795508e+33       1.467662932707e+43       4.892209775690e+42       3.446454986861e-08       2.963722494509e+43       1.080962428701e+44       1.080962428701e+44       3.603208095494e+43      -2.159604425520e+52       9.494900086145e-06       1.155447795457e+00 
       6.864552076686e+13       1.602606988147e-25       6.746631697752e-09       1.017580683292e+22       1.416747636622e+04       2.063860279295e-10       9.725337931116e+17       3.894778131910e-09       6.109812577545e+43       7.980574235013e+32       4.316024841385e+33       1.405896775538e+43       4.686322585125e+42       3.446454986861e-08       2.838995116497e+43       1.035470447009e+44       1.035470447009e+44       3.451568156527e+43      -2.046600590344e+52       9.612825656646e-06       1.141273311780e+00 
       6.791160293113e+13       1.637432770700e-25       6.819391273893e-09       9.959382419661e+21       1.416747636622e+04       2.086164330503e-10       9.621360295191e+17       3.936868835347e-09       5.852682935902e+43       7.727330250647e+32       4.179066360044e+33       1.346730028687e+43       4.489100095623e+42       3.446454986861e-08       2.719516853021e+43       9.918929818105e+43       9.918929818105e+43       3.306309939203e+43      -1.939509813417e+52       9.730751227149e-06       1.127442385156e+00 
       6.718553171646e+13       1.673015341540e-25       6.892150850035e-09       9.747561034685e+21       1.416747636622e+04       2.108709420655e-10       9.518494327451e+17       3.979414411223e-09       5.606374518605e+43       7.482122344102e+32       4.046453920790e+33       1.290053296746e+43       4.300177655821e+42       3.446454986861e-08       2.605066796659e+43       9.501494612490e+43       9.501494612490e+43       3.167164870670e+43      -1.838022687031e+52       9.848676797655e-06       1.113942674577e+00 
       6.646722323137e+13       1.709371147193e-25       6.966729415581e-09       9.540244778364e+21       1.416747636622e+04       2.131498154648e-10       9.416728142590e+17       4.022419775362e-09       5.370431917652e+43       7.244695510126e+32       3.918049612619e+33       1.235761788180e+43       4.119205960599e+42       3.446454986861e-08       2.495433336814e+43       9.101627043110e+43       9.101627043110e+43       3.033875680882e+43      -1.741845993595e+52       9.966602368162e-06       1.100762423135e+00 
       6.575659448129e+13       1.746516989977e-25       7.043126970530e-09       9.337337833253e+21       1.416747636622e+04       2.154533165530e-10       9.316049982370e+17       4.065889896654e-09       5.144418890750e+43       7.014802835429e+32       3.793719900793e+33       1.183755121573e+43       3.945850405243e+42       3.446454986861e-08       2.390413768457e+43       8.718587781229e+43       8.718587781229e+43       2.906195926927e+43      -1.650701858476e+52       1.008452793867e-05       1.087890423833e+00 
       6.505356335897e+13       1.784470038170e-25       7.117705536075e-09       9.138746419800e+21       1.416747636622e+04       2.177817114805e-10       9.216448214268e+17       4.109829797719e-09       4.927917554735e+43       6.792205241913e+32       3.673335487973e+33       1.133937140033e+43       3.779790466776e+42       3.446454986861e-08       2.289813917339e+43       8.351668612541e+43       8.351668612541e+43       2.783889537369e+43      -1.564326947157e+52       1.020245350918e-05       1.075315987830e+00 
       6.435804863501e+13       1.823247833109e-25       7.195922080427e-09       8.944378753009e+21       1.416747636622e+04       2.201352692741e-10       9.117911330127e+17       4.154244555454e-09       4.720527612930e+43       6.576671238038e+32       3.556771179755e+33       1.086215733400e+43       3.620719111333e+42       3.446454986861e-08       2.193447780977e+43       8.000191127728e+43       8.000191127728e+43       2.666730375769e+43      -1.482471704405e+52       1.032037907969e-05       1.063028914828e+00 
       6.366996994847e+13       1.862868296578e-25       7.272319635376e-09       8.754145000013e+21       1.416747636622e+04       2.225142618677e-10       9.020427944830e+17       4.199139301596e-09       4.521865615026e+43       6.367976678080e+32       3.443905754472e+33       1.040502667945e+43       3.468342226483e+42       3.446454986861e-08       2.101137184747e+43       7.663505468126e+43       7.663505468126e+43       2.554501822572e+43      -1.404899633262e+52       1.043830465020e-05       1.051019465467e+00 
       6.298924779757e+13       1.903349741243e-25       7.352355169132e-09       8.567957238559e+21       1.416747636622e+04       2.249189641342e-10       8.923986794982e+17       4.244519223390e-09       4.331564248103e+43       6.165904529031e+32       3.334621837129e+33       9.967134232272e+42       3.322378077424e+42       3.446454986861e-08       2.012711452452e+43       7.340989124177e+43       7.340989124177e+43       2.446996374594e+43      -1.331386611747e+52       1.055623022072e-05       1.039278335603e+00 
       6.231580353053e+13       1.944710875623e-25       7.430571713485e-09       8.385729416369e+21       1.416747636622e+04       2.273496539169e-10       8.828576737610e+17       4.290389564066e-09       4.149271657499e+43       5.970244644896e+32       3.228805777342e+33       9.547670358246e+42       3.182556786082e+42       3.446454986861e-08       1.928007090750e+43       7.032045784455e+43       7.032045784455e+43       2.344015261358e+43      -1.261720245328e+52       1.067415579124e-05       1.027796632232e+00 
       6.164955933647e+13       1.986970817435e-25       7.510607247241e-09       8.207377311372e+21       1.416747636622e+04       2.298066120619e-10       8.734186748875e+17       4.336755623612e-09       3.974650796248e+43       5.780793548147e+32       3.126347531140e+33       9.145859496361e+42       3.048619832120e+42       3.446454986861e-08       1.846867486869e+43       6.736104233123e+43       6.736104233123e+43       2.245368077584e+43      -1.195699253262e+52       1.079208136176e-05       1.016565851072e+00 
       6.099043823641e+13       2.030149096766e-25       7.592461770400e-09       8.032818492777e+21       1.416747636622e+04       2.322901224501e-10       8.640805922799e+17       4.383622759182e-09       3.807378801907e+43       5.597354218116e+32       3.027140546532e+33       8.760958724861e+42       2.920319574954e+42       3.446454986861e-08       1.769142619038e+43       6.452617293790e+43       6.452617293790e+43       2.150872431144e+43      -1.133132887062e+52       1.091000693229e-05       1.005577855502e+00 
       6.033836407438e+13       2.074265671486e-25       7.674316293560e-09       7.861972282971e+21       1.416747636622e+04       2.348004720306e-10       8.548423470003e+17       4.430996385945e-09       3.647146399602e+43       5.419735886106e+32       2.931081652690e+33       8.392256387633e+42       2.797418795878e+42       3.446454986861e-08       1.694688779108e+43       6.181060817821e+43       6.181060817821e+43       2.060353605825e+43      -1.073840379374e+52       1.102793250281e-05       9.948248569609e-01 
       5.969326150864e+13       2.119340929849e-25       7.757989806123e-09       7.694759720239e+21       1.416747636622e+04       2.373379508535e-10       8.457028716464e+17       4.478881977476e-09       3.493657330200e+43       5.247753836996e+32       2.838070952661e+33       8.039070778395e+42       2.679690259465e+42       3.446454986861e-08       1.623368306845e+43       5.920932715221e+43       5.920932715221e+43       1.973644238295e+43      -1.017650421712e+52       1.114585807333e-05       9.842993964793e-01 
       5.905505600295e+13       2.165395705820e-25       7.841663318686e-09       7.531103522262e+21       1.416747636622e+04       2.399028521032e-10       8.366611102277e+17       4.527285066593e-09       3.346627802545e+43       5.081229217148e+32       2.748011719478e+33       7.700748880275e+42       2.566916293425e+42       3.446454986861e-08       1.555049335405e+43       5.671752026303e+43       5.671752026303e+43       1.890584008659e+43      -9.644006695062e+51       1.126378364385e-05       9.739943274736e-01 
       5.842367381797e+13       2.212451284471e-25       7.925336831249e-09       7.370928050404e+21       1.416747636622e+04       2.424954721328e-10       8.277160180440e+17       4.576211245854e-09       3.205785968747e+43       4.919988848406e+32       2.660810295566e+33       7.376665158420e+42       2.458888386140e+42       3.446454986861e-08       1.489605547518e+43       5.433058032423e+43       5.433058032423e+43       1.811019344036e+43      -9.139372730561e+51       1.138170921438e-05       9.639027995300e-01 
       5.779904200274e+13       2.260529413888e-25       8.012648322619e-09       7.214159274750e+21       1.416747636622e+04       2.451161104980e-10       8.188665615641e+17       4.625666168270e-09       3.070871421555e+43       4.763865047998e+32       2.576375995346e+33       7.066220403425e+42       2.355406801142e+42       3.446454986861e-08       1.426915941944e+43       5.204409404147e+43       5.204409404147e+43       1.734803134614e+43      -8.661144330279e+51       1.149963478490e-05       9.540182432342e-01 
       5.718108838624e+13       2.309652315421e-25       8.098140824586e-09       7.060724739894e+21       1.416747636622e+04       2.477650699917e-10       8.101117183069e+17       4.675655547965e-09       2.941634712878e+43       4.612695454155e+32       2.494621010921e+33       6.768840623433e+42       2.256280207811e+42       3.446454986861e-08       1.366864609738e+43       4.985383385255e+43       4.985383385255e+43       1.661794461653e+43      -8.207939792092e+51       1.161756035543e-05       9.443343559124e-01 
       5.656974156908e+13       2.359842691661e-25       8.185452315956e-09       6.910553531448e+21       1.416747636622e+04       2.504426566793e-10       8.014504767232e+17       4.726185160763e-09       2.817836892574e+43       4.466322857262e+32       2.415460320764e+33       6.483975982865e+42       2.161325327622e+42       3.446454986861e-08       1.309340519954e+43       4.775575011101e+43       4.775575011101e+43       1.591858336938e+43      -7.778449713057e+51       1.173548592596e-05       9.348450882111e-01 
       5.596493091520e+13       2.411123741013e-25       8.274582796730e-09       6.763576243269e+21       1.416747636622e+04       2.531491799335e-10       7.928818360784e+17       4.777260844986e-09       2.699249066647e+43       4.324595036364e+32       2.338811601299e+33       6.211099785807e+42       2.070366595269e+42       3.446454986861e-08       1.254237314346e+43       4.574596359851e+43       4.574596359851e+43       1.524865453191e+43      -7.371433206278e+51       1.185341149649e-05       9.255446315268e-01 
       5.536658654378e+13       2.463519162842e-25       8.363713277504e-09       6.619724945380e+21       1.416747636622e+04       2.558849524707e-10       7.844048063374e+17       4.828888501949e-09       2.585651974035e+43       4.187364600868e+32       2.264595141286e+33       5.949707502188e+42       1.983235834063e+42       3.446454986861e-08       1.201453110726e+43       4.382075835248e+43       4.382075835248e+43       1.460691944993e+43      -6.985714315721e+51       1.197133706702e-05       9.164274061082e-01 
       5.477463932109e+13       2.517053175219e-25       8.454662747681e-09       6.478933152575e+21       1.416747636622e+04       2.586502903866e-10       7.760184080498e+17       4.881074096863e-09       2.476835581215e+43       4.054488837259e+32       2.192733758926e+33       5.699315834931e+42       1.899771944977e+42       3.446454986861e-08       1.150890314586e+43       4.197657479554e+43       4.197657479554e+43       1.399219159765e+43      -6.620178618632e+51       1.208926263756e-05       9.074880499412e-01 
       5.418902085255e+13       2.571750518412e-25       8.545612217858e-09       6.341135793691e+21       1.416747636622e+04       2.614455131930e-10       7.677216722371e+17       4.933823659270e-09       2.372598693860e+43       3.925829560685e+32       2.123152721595e+33       5.459461826376e+42       1.819820608792e+42       3.446454986861e-08       1.102455438655e+43       4.021000315403e+43       4.021000315403e+43       1.340333438384e+43      -6.273770005732e+51       1.220718820810e-05       8.987214081809e-01 
       5.360966347481e+13       2.627636474627e-25       8.638380677439e-09       6.206269181532e+21       1.416747636622e+04       2.642709438547e-10       7.595136402805e+17       4.987143284015e-09       2.272748584847e+43       3.801252971255e+32       2.055779668128e+33       5.229702002296e+42       1.743234000765e+42       3.446454986861e-08       1.056058930043e+43       3.851777715363e+43       3.851777715363e+43       1.283925905040e+43      -5.945487629903e+51       1.232511377864e-05       8.901225232933e-01 
       5.303650024796e+13       2.684736871506e-25       8.731149137020e-09       6.074270983434e+21       1.416747636622e+04       2.671269088267e-10       7.513933638100e+17       5.041039131681e-09       2.177100637917e+43       3.680629514888e+32       1.990544533562e+33       5.009611551945e+42       1.669870517315e+42       3.446454986861e-08       1.011615004671e+43       3.689676798019e+43       3.689676798019e+43       1.229892265928e+43      -5.634383014525e+51       1.244303934918e-05       8.816866256556e-01 
       5.246946494773e+13       2.743078100493e-25       8.825736586004e-09       5.945080192458e+21       1.416747636622e+04       2.700137380919e-10       7.433599045953e+17       5.095517429511e-09       2.085478006332e+43       3.563833748584e+32       1.927379476275e+33       4.798783542612e+42       1.599594514204e+42       3.446454986861e-08       9.690414886537e+42       3.534397849475e+43       3.534397849475e+43       1.178132616416e+43      -5.339557313129e+51       1.256096491973e-05       8.734091247736e-01 
       5.190849205793e+13       2.802687125805e-25       8.920324034989e-09       5.818637099192e+21       1.416747636622e+04       2.729317651996e-10       7.354123344369e+17       5.150584472019e-09       1.997711285894e+43       3.450744209970e+32       1.866218807433e+33       4.596828167227e+42       1.532276055742e+42       3.446454986861e-08       9.282596663715e+42       3.385653769209e+43       3.385653769209e+43       1.128551256329e+43      -5.060158712443e+51       1.267889049028e-05       8.652856009330e-01 
