# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
    2       1.021756874787e+03       5.330860779126e-02       0.000000000000e+00       3.449690831841e+00       5.249279672490e-08       3.123898800994e-03      -1.616883606731e-05 
    3       9.633707973846e+02       6.816308339629e-02       0.000000000000e+00       3.880691898758e+00       6.599387494476e-08       3.176104035640e-03      -1.736040791504e-05 
    4       9.080586081113e+02       5.880124013407e-02       0.000000000000e+00       3.625011734105e+00       7.739080817275e-08       3.138123642552e-03      -1.476400222794e-05 
    5       8.664378064408e+02       3.900885530363e-02       0.000000000000e+00       3.067658975163e+00       8.741465935354e-08       3.062422745741e-03      -1.020249663169e-05 
    6       8.376830781544e+02       2.144377882078e-02       0.000000000000e+00       2.433199285807e+00       9.637759539339e-08       2.969949427927e-03      -5.206096387628e-06 
    7       8.192382045188e+02       1.106430177268e-02       0.000000000000e+00       1.858536775487e+00       1.044958966559e-07       2.872874413024e-03      -9.563449806869e-07 
    8       8.083690446079e+02       6.626926300341e-03       0.000000000000e+00       1.409688242683e+00       1.118586249720e-07       2.777917063553e-03       1.847133706175e-06 
    9       8.034309233949e+02       5.041663002248e-03       0.000000000000e+00       1.104896659062e+00       1.185596770339e-07       2.687240573343e-03       3.003779208893e-06 
   10       8.023677247264e+02       4.228455261507e-03       0.000000000000e+00       9.323558531213e-01       1.246853222055e-07       2.600120582946e-03       2.738629959516e-06 
   11       8.042337024934e+02       3.580304771592e-03       0.000000000000e+00       8.647429241264e-01       1.252346127856e-07       2.515243200269e-03       1.567507945415e-06 
   12       8.089797268269e+02       3.176810722171e-03       0.000000000000e+00       8.687062377266e-01       1.299567241299e-07       2.435615782825e-03       6.302492471806e-08 
   13       8.154801203485e+02       3.070264438947e-03       0.000000000000e+00       9.135006179488e-01       1.342653868010e-07       2.362677596923e-03      -1.255216060657e-06 
   14       8.235490151060e+02       3.136235936552e-03       0.000000000000e+00       9.763236593177e-01       1.382030704557e-07       2.288850417603e-03      -2.064802817141e-06 
   15       8.325040078777e+02       3.250343581642e-03       0.000000000000e+00       1.043401948054e+00       1.418061978944e-07       2.216765651775e-03      -2.257214063856e-06 
   16       8.429172109470e+02       3.418068849625e-03       0.000000000000e+00       1.107574582270e+00       1.451063965310e-07       2.146504451339e-03      -1.933794638969e-06 
   17       8.537296921045e+02       3.733428782134e-03       0.000000000000e+00       1.168463502244e+00       1.481307808014e-07       2.081391066132e-03      -1.324263003332e-06 
   18       8.654470775132e+02       4.272648481790e-03       0.000000000000e+00       1.230477948625e+00       1.508465251240e-07       2.019165854292e-03      -7.116126726094e-07 
   19       8.781348107855e+02       5.039943956364e-03       0.000000000000e+00       1.297055434303e+00       1.534448813631e-07       1.960007177994e-03      -2.746057575143e-07 
   20       8.910934188456e+02       6.008044428547e-03       0.000000000000e+00       1.370753244213e+00       1.557669267863e-07       1.901296285370e-03      -1.496241598301e-07 
   21       9.043461186887e+02       7.162570479519e-03       0.000000000000e+00       1.451276521887e+00       1.579090957324e-07       1.846126682770e-03      -3.241830037227e-07 
