# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
   30       1.074102669097e+03       1.933987070372e-02       0.000000000000e+00       1.812318259280e+00       1.262335376028e-07       1.149721136709e-03      -5.047718672692e-07 
   31       1.091634841997e+03       2.168047341686e-02       0.000000000000e+00       1.836444003355e+00       1.262839137746e-07       1.118692241740e-03      -4.574808921278e-07 
   32       1.109374069535e+03       2.420985567672e-02       0.000000000000e+00       1.854529440828e+00       1.262521902928e-07       1.090823914218e-03      -4.902556351460e-07 
   33       1.127329237178e+03       2.693450449037e-02       0.000000000000e+00       1.866065008923e+00       1.261746009210e-07       1.065973017215e-03      -5.848226227945e-07 
   34       1.145479450228e+03       2.986089635459e-02       0.000000000000e+00       1.870189213714e+00       1.260589312411e-07       1.042686043133e-03      -6.989134327127e-07 
   35       1.163767173319e+03       3.299523470722e-02       0.000000000000e+00       1.865990801941e+00       1.258591058579e-07       1.018992597925e-03      -7.838367370951e-07 
   36       1.182246036967e+03       3.634356721233e-02       0.000000000000e+00       1.852816384057e+00       1.256172565741e-07       9.950495461978e-04      -8.285291632808e-07 
   37       1.200973378572e+03       3.991166326368e-02       0.000000000000e+00       1.830059144647e+00       1.253740251142e-07       9.715890281512e-04      -8.354093095306e-07 
   38       1.219964705349e+03       4.370494965395e-02       0.000000000000e+00       1.797073429880e+00       1.251152701072e-07       9.492204156372e-04      -8.102123027610e-07 
   39       1.239205262036e+03       4.772850646100e-02       0.000000000000e+00       1.753314256258e+00       1.247880533192e-07       9.283586694804e-04      -7.621323579975e-07 
   40       1.258701650736e+03       5.198711640638e-02       0.000000000000e+00       1.698820563134e+00       1.244164903633e-07       9.090775778354e-04      -7.029066495980e-07 
   41       1.278439434775e+03       5.648518869605e-02       0.000000000000e+00       1.633891581584e+00       1.240286993138e-07       8.911084364698e-04      -6.481874796058e-07 
   42       1.298364390350e+03       6.122671443259e-02       0.000000000000e+00       1.558966158379e+00       1.236170439806e-07       8.738028889346e-04      -6.184518097804e-07 
   43       1.318408531361e+03       6.621548478298e-02       0.000000000000e+00       1.474445838140e+00       1.231509132147e-07       8.563699148073e-04      -6.334269861261e-07 
