# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
   41       1.246362201174e+03       6.178481980147e-02       0.000000000000e+00       1.684123306424e+00       1.375973717677e-07       9.486229373476e-04      -7.320848280804e-07 
   42       1.264838177494e+03       6.695660509274e-02       0.000000000000e+00       1.604812903581e+00       1.372718281342e-07       9.287509099427e-04      -7.377398901521e-07 
   43       1.283459455009e+03       7.239712541014e-02       0.000000000000e+00       1.515001102436e+00       1.369273960767e-07       9.094915408225e-04      -7.776096656741e-07 
   44       1.302287469973e+03       7.811049850139e-02       0.000000000000e+00       1.414456900057e+00       1.365568516036e-07       8.909014838863e-04      -8.368765811853e-07 
   45       1.321365210521e+03       8.410050725382e-02       0.000000000000e+00       1.302915863823e+00       1.361327522941e-07       8.729368193521e-04      -8.991829239952e-07 
   46       1.340704445458e+03       9.037077375972e-02       0.000000000000e+00       1.179967025209e+00       1.356789772100e-07       8.557025019340e-04      -9.599238603289e-07 
   47       1.360291605249e+03       9.692460537009e-02       0.000000000000e+00       1.045130395803e+00       1.352233754027e-07       8.392614295803e-04      -1.017748009943e-06 
   48       1.380088774974e+03       1.037649267078e-01       0.000000000000e+00       8.978845284852e-01       1.347737495984e-07       8.235438998927e-04      -1.071093791390e-06 
   49       1.400031700155e+03       1.108942642116e-01       0.000000000000e+00       7.376635506582e-01       1.343117745048e-07       8.083254321553e-04      -1.118172878130e-06 
   50       1.420055187422e+03       1.183146586326e-01       0.000000000000e+00       5.639685211668e-01       1.338048867018e-07       7.933217296362e-04      -1.157752876766e-06 
   51       1.440182061221e+03       1.260274103828e-01       0.000000000000e+00       3.767440182020e-01       1.332669244530e-07       7.785763831690e-04      -1.191926725534e-06 
   52       1.460454906344e+03       1.340332383475e-01       0.000000000000e+00       1.760986436756e-01       1.327178002528e-07       7.641884992975e-04      -1.224425410022e-06 
   53       1.480910095212e+03       1.423323274914e-01       0.000000000000e+00      -3.779801041380e-02       1.321644147727e-07       7.501986046397e-04      -1.260008081990e-06 
   54       1.501577082874e+03       1.509243100122e-01       0.000000000000e+00      -2.647129488174e-01       1.315970860866e-07       7.365788479940e-04      -1.304564552981e-06 
   55       1.522477346419e+03       1.598085286398e-01       0.000000000000e+00      -5.044333443646e-01       1.309978501627e-07       7.232701651467e-04      -1.363474179683e-06 
   56       1.543622509795e+03       1.689849463051e-01       0.000000000000e+00      -7.570470919493e-01       1.303800880620e-07       7.103347192919e-04      -1.435704182358e-06 
   57       1.565014518287e+03       1.784534294416e-01       0.000000000000e+00      -1.022727723330e+00       1.297611793139e-07       6.978415005816e-04      -1.517726307139e-06 
   58       1.586645250066e+03       1.882134779553e-01       0.000000000000e+00      -1.301655445434e+00       1.291499421663e-07       6.858179210041e-04      -1.604988631481e-06 
   59       1.608495797328e+03       1.982642173706e-01       0.000000000000e+00      -1.594018077235e+00       1.285444369934e-07       6.742436263992e-04      -1.691818609457e-06 
   60       1.630535747441e+03       2.086043909773e-01       0.000000000000e+00      -1.900011986639e+00       1.279295691743e-07       6.630440415411e-04      -1.771322663572e-06 
   61       1.652735073180e+03       2.192319011586e-01       0.000000000000e+00      -2.219791041861e+00       1.272851100960e-07       6.521266345381e-04      -1.836872225273e-06 
   62       1.675104548488e+03       2.301423308390e-01       0.000000000000e+00      -2.553297956263e+00       1.266204204266e-07       6.415199373044e-04      -1.887396761326e-06 
   63       1.697663170124e+03       2.413300747124e-01       0.000000000000e+00      -2.900396577283e+00       1.259503873805e-07       6.312690407618e-04      -1.923676121979e-06 
   64       1.720426036607e+03       2.527887390550e-01       0.000000000000e+00      -3.260919832944e+00       1.252850031356e-07       6.213933700423e-04      -1.946942815081e-06 
   65       1.743404029430e+03       2.645111195670e-01       0.000000000000e+00      -3.634669019276e+00       1.246281540578e-07       6.118832529388e-04      -1.958925518119e-06 
   66       1.766603494280e+03       2.764891792152e-01       0.000000000000e+00      -4.021413087731e+00       1.239763081547e-07       6.026963544917e-04      -1.961894058536e-06 
   67       1.790025922258e+03       2.887140260741e-01       0.000000000000e+00      -4.420887932611e+00       1.233170975214e-07       5.937539777110e-04      -1.958705862302e-06 
   68       1.813671103714e+03       3.011767511412e-01       0.000000000000e+00      -4.832828150467e+00       1.226354472574e-07       5.849711097541e-04      -1.952231807064e-06 
   69       1.837548044424e+03       3.138711884416e-01       0.000000000000e+00      -5.257071383950e+00       1.219385575337e-07       5.763661377795e-04      -1.943318257750e-06 
   70       1.861665698807e+03       3.267916769572e-01       0.000000000000e+00      -5.693473937807e+00       1.212381281636e-07       5.679773755539e-04      -1.932295291782e-06 
   71       1.886029467173e+03       3.399322499771e-01       0.000000000000e+00      -6.141880293394e+00       1.205429338708e-07       5.598305066838e-04      -1.919549046169e-06 
